datum;fullDepo;balance;equity;hozam;lots
2019.04.09 15:29;423758.42;431081.72;431081.72;0.00;0.20
2019.04.09 15:29;423758.42;431154.56;431154.56;0.00;0.10
2019.04.09 15:29;423758.42;431480.25;431480.25;0.00;0.20
2019.04.09 15:29;423758.42;432034.55;432034.55;0.00;0.20
2019.04.09 15:29;423758.42;432698.89;432698.89;0.00;0.20
2019.04.09 15:30;423758.42;436652.59;436652.59;0.00;0.50
2019.04.09 15:30;423758.42;440741.73;440741.73;0.00;0.50
2019.04.09 15:30;423758.42;445067.35;445067.35;0.00;0.50
2019.04.09 15:31;423758.42;452741.09;452741.09;0.00;0.50
2019.04.09 15:32;423758.42;461125.79;461125.79;0.00;0.50
2019.04.09 15:32;423758.42;470182.04;470182.04;0.00;0.50
2019.04.10 02:09;423895.76;470319.38;470319.38;0.00;
2019.04.10 02:09;423964.43;470388.05;470388.05;0.00;
2019.04.10 02:09;424033.10;470456.72;470456.72;0.00;
2019.04.10 02:09;424101.77;470525.39;470525.39;0.00;
2019.04.10 02:09;424170.44;470594.06;470594.06;0.00;
2019.04.10 02:09;424204.77;470628.39;470628.39;0.00;
2019.04.10 22:55;424204.77;470846.45;470846.45;0.00;0.50
2019.04.11 02:24;424215.45;470857.13;470857.13;0.00;
2019.04.11 02:24;424236.80;470878.48;470878.48;0.00;
2019.04.11 02:24;424247.48;470889.16;470889.16;0.00;
2019.04.11 02:24;424258.16;470899.84;470899.84;0.00;
2019.04.11 02:24;424268.84;470910.52;470910.52;0.00;
2019.04.11 02:24;424274.18;470915.86;470915.86;0.00;
2019.04.11 02:24;424279.52;470921.20;470921.20;0.00;
2019.04.11 14:19;424279.52;460371.48;460371.48;0.00;0.10
2019.04.11 14:19;424279.52;473489.39;473489.39;0.00;0.10
2019.04.11 17:13;424279.52;472218.74;472218.74;0.00;1.00
2019.04.11 17:14;424279.52;472099.64;472099.64;0.00;0.50
2019.04.11 17:14;424279.52;481446.60;481446.60;0.00;0.50
2019.04.11 17:43;424279.52;476449.47;476449.47;0.00;0.10
2019.04.11 18:23;424279.52;461395.71;461395.71;0.00;0.10
2019.04.11 18:44;424279.52;449832.70;449832.70;0.00;4.00
2019.04.11 18:44;424279.52;449593.66;449593.66;0.00;0.10
2019.04.11 18:45;424279.52;467698.98;467698.98;0.00;1.00
2019.04.11 18:49;424279.52;487311.70;487311.70;0.00;1.00
2019.04.12 02:29;424442.66;487474.84;487474.84;0.00;
2019.04.12 02:29;424524.23;487556.41;487556.41;0.00;
2019.04.12 02:29;424605.80;487637.98;487637.98;0.00;
2019.04.12 02:30;424768.94;487801.12;487801.12;0.00;
2019.04.12 02:30;425095.22;488127.40;488127.40;0.00;
2019.04.12 17:03;425095.22;489686.40;489686.40;0.00;0.50
2019.04.12 17:03;425095.22;490007.28;490007.28;0.00;0.10
2019.04.12 17:03;425095.22;490334.16;490334.16;0.00;0.10
2019.04.12 17:03;425095.22;490646.53;490646.53;0.00;0.10
2019.04.12 17:04;425095.22;490972.83;490972.83;0.00;0.10
2019.04.12 17:39;425095.22;493247.02;493247.02;0.00;1.10
2019.04.12 19:10;425095.22;484631.52;484631.52;0.00;0.10
2019.04.15 02:15;425114.29;484650.59;484650.59;0.00;
2019.04.15 02:15;425152.43;484688.73;484688.73;0.00;
2019.04.15 02:15;425171.50;484707.80;484707.80;0.00;
2019.04.15 02:16;425247.78;484784.08;484784.08;0.00;
2019.04.15 02:16;425285.92;484822.22;484822.22;0.00;
2019.04.15 02:16;425295.46;484831.76;484831.76;0.00;
2019.04.15 02:16;425352.67;484888.97;484888.97;0.00;
2019.04.15 18:01;425352.67;481239.92;481239.92;0.00;3.00
2019.04.15 18:01;425352.67;486702.76;486702.76;0.00;2.00
2019.04.15 18:05;425352.67;498264.59;498264.59;0.00;4.00
2019.04.15 18:05;425352.67;497688.91;497688.91;0.00;0.50
2019.04.15 18:33;425352.67;497635.10;497635.10;0.00;0.20
2019.04.15 18:33;425352.67;497584.13;497584.13;0.00;6.00
2019.04.15 20:11;425352.67;498065.50;498065.50;0.00;0.10
2019.04.15 20:28;425352.67;499651.48;499651.48;0.00;0.10
2019.04.15 21:03;425352.67;500091.73;500091.73;0.00;4.20
2019.04.15 23:16;425352.67;498420.26;498420.26;0.00;0.10
2019.04.16 02:21;425384.52;498452.11;498452.11;0.00;
2019.04.16 02:21;425400.45;498468.04;498468.04;0.00;
2019.04.16 02:21;425416.38;498483.97;498483.97;0.00;
2019.04.16 02:22;425446.64;498514.23;498514.23;0.00;
2019.04.16 02:22;425510.35;498577.94;498577.94;0.00;
2019.04.16 02:22;425543.80;498611.39;498611.39;0.00;
2019.04.16 11:40;425543.80;498587.37;498587.37;0.00;0.10
2019.04.16 11:40;425543.80;503211.04;503211.04;0.00;2.10
2019.04.16 12:08;425543.80;498857.31;498857.31;0.00;0.10
2019.04.16 13:07;425543.80;498375.91;498375.91;0.00;2.10
2019.04.16 13:20;425543.80;496055.47;496055.47;0.00;0.10
2019.04.16 15:13;425543.80;496500.91;496500.91;0.00;2.10
2019.04.16 15:28;425543.80;484877.42;484877.42;0.00;0.10
2019.04.16 22:33;425543.80;484508.06;484508.06;-369.36;0.10
2019.04.16 22:33;425543.80;484138.70;484138.70;-738.72;0.10
2019.04.16 22:34;425543.80;508846.89;508846.89;-738.72;1.00
2019.04.16 22:34;425543.80;509559.00;509559.00;-738.72;1.90
2019.04.16 22:34;425543.80;535674.85;535674.85;-738.72;1.00
2019.04.16 22:34;425543.80;529649.70;529649.70;-738.72;2.10
2019.04.16 22:34;425543.80;582023.03;582023.03;-738.72;2.00
2019.04.16 22:34;425543.80;578718.64;578718.64;-738.72;4.00
2019.04.16 22:34;425543.80;570635.54;570635.54;-738.72;2.10
2019.04.16 22:34;425543.80;570129.69;570129.69;-738.72;0.20
2019.04.17 02:25;425975.53;570561.42;570561.42;-738.72;
2019.04.17 17:00;425975.53;570560.29;570560.29;-739.85;0.10
2019.04.17 17:00;425975.53;570559.16;570559.16;-740.98;0.10
2019.04.17 20:45;425975.53;570725.55;570725.55;-574.59;0.02
2019.04.18 02:32;426081.41;570831.43;570831.43;-574.59;
2019.04.18 02:32;426131.35;570881.37;570881.37;-574.59;
2019.04.18 02:32;426185.29;570935.31;570935.31;-574.59;
2019.04.18 02:32;426225.24;570975.26;570975.26;-574.59;
2019.04.18 04:13;426225.24;549814.54;549814.54;-574.59;5.30
2019.04.18 04:13;426225.24;543828.16;543828.16;-574.59;2.00
2019.04.18 04:13;426225.24;529705.57;529705.57;-574.59;2.70
2019.04.18 04:13;426225.24;516961.03;516961.03;-574.59;2.50
2019.04.22 02:19;426446.81;517182.60;517182.60;-574.59;
2019.04.22 02:19;426491.12;517226.91;517226.91;-574.59;
2019.04.22 02:19;426502.20;517237.99;517237.99;-574.59;
2019.04.22 02:19;426513.28;517249.07;517249.07;-574.59;
2019.04.22 18:12;426513.28;518144.95;518144.95;-574.59;2.00
2019.04.22 18:13;426513.28;518585.23;518585.23;-574.59;0.50
2019.04.22 18:16;426513.28;521963.28;521963.28;-574.59;2.00
2019.04.22 18:16;426513.28;521506.81;521506.81;-574.59;0.50
2019.04.23 02:12;426516.53;521510.06;521510.06;-574.59;
2019.04.23 02:12;426519.78;521513.31;521513.31;-574.59;
2019.04.23 02:16;426855.22;521848.75;521848.75;-574.59;
2019.04.23 10:05;426855.22;521473.77;521473.77;-949.57;0.10
2019.04.23 10:05;426855.22;521105.91;521105.91;-1317.43;0.10
2019.04.23 17:02;426855.22;522991.98;522991.98;568.64;0.10
2019.04.23 17:04;426855.22;524974.18;524974.18;2550.84;0.10
2019.04.23 22:36;426855.22;524949.61;524949.61;2526.27;0.20
2019.04.23 22:36;426855.22;524946.18;524946.18;2522.84;0.20
2019.04.24 02:13;426863.80;524954.76;524954.76;2522.84;
2019.04.24 02:13;426864.44;524955.40;524955.40;2522.84;
2019.04.24 02:13;426865.08;524956.04;524956.04;2522.84;
2019.04.24 06:04;426865.08;524192.86;524192.86;1759.66;0.60
2019.04.24 15:18;426865.08;526020.90;526020.90;3587.70;0.10
2019.04.24 15:38;426865.08;525488.25;525488.25;3055.05;0.60
2019.04.24 15:38;426865.08;525440.14;525440.14;3006.94;0.60
2019.04.24 15:38;426865.08;525364.72;525364.72;2931.52;0.60
2019.04.24 16:30;426865.08;526342.48;526342.48;3909.28;1.30
2019.04.24 19:58;426865.08;527198.92;527198.92;4765.72;0.10
2019.04.24 22:58;426865.08;594257.31;594257.31;4765.72;8.00
2019.04.25 07:30;426865.08;594342.77;594342.77;4851.18;0.04
2019.04.25 12:38;426865.08;591445.79;591445.79;4851.18;3.00
2019.04.25 12:38;426865.08;589514.33;589514.33;4851.18;2.00
2019.04.25 23:04;426865.08;581522.22;581522.22;4851.18;4.00
2019.04.25 23:04;426865.08;577086.51;577086.51;4851.18;2.00
2019.04.25 23:05;426865.08;575843.16;575843.16;4851.18;0.10
2019.04.26 07:20;426865.08;574545.32;574545.32;3553.34;0.03
2019.04.26 09:05;426865.08;564655.52;564655.52;3553.34;0.10
2019.04.29 03:03;427122.92;564913.36;564913.36;3553.34;
2019.04.29 03:03;427226.05;565016.49;565016.49;3553.34;
2019.04.29 03:05;427182.65;564973.09;564973.09;3553.34;
2019.04.29 22:24;427182.65;577798.92;577798.92;3553.34;0.10
2019.04.30 01:24;427182.65;601971.94;601971.94;3553.34;5.00
2019.04.30 01:24;427182.65;606123.74;606123.74;3553.34;2.00
2019.04.30 01:24;427182.65;603517.26;603517.26;3553.34;0.10
2019.04.30 02:39;427295.64;603630.25;603630.25;3553.34;
2019.04.30 02:39;427340.84;603675.45;603675.45;3553.34;
2019.04.30 05:43;427340.84;603871.20;603871.20;3749.09;0.10
2019.04.30 22:28;427340.84;604281.07;604281.07;3749.09;2.00
2019.04.30 23:01;427340.84;595446.54;595446.54;3749.09;0.10
2019.05.01 02:58;427378.31;595484.01;595484.01;3749.09;
2019.05.01 02:58;427400.79;595506.49;595506.49;3749.09;
2019.05.01 09:59;427400.79;603114.44;603114.44;3749.09;3.00
2019.05.01 12:51;427400.79;627270.32;627270.32;3749.09;5.00
2019.05.01 13:34;427400.79;626433.64;626433.64;3749.09;5.00
2019.05.01 14:25;427400.79;630733.48;630733.48;3749.09;0.10
2019.05.01 18:01;427400.79;631267.22;631267.22;4282.83;0.01
